Test set range,RMSE,R2-score,MAPE,Wasserstein_dist,rmse_ratio,mape_ratio,Robust_rmse,Robust_mape
0 : 70,13.631280693848696,0.8828101951103469,2.3952314630150795,77.61118631991077,0.31,0.3,True,True
70 : 140,20.5919968549108,0.7126424598917953,3.208271786570549,151.29929585788517,0.61,0.58,True,True
140 : 210,15.58427456275912,-0.10758000499846898,1.9096612930297852,214.43001092833563,0.86,0.82,True,True
210 : 280,13.764590203905284,0.8908843694438349,2.2338777780532837,120.51215509337702,0.49,0.46,True,True
280 : 350,17.0515656141182,0.8401558495982793,2.356870658695698,195.0664349657237,0.79,0.75,True,True
350 : 420,10.234940421523172,0.40123243391397045,1.4875239692628384,186.86787016382792,0.75,0.72,True,True
420 : 490,51.208987019492,0.4657682723971398,5.421893671154976,254.7307285273812,1.03,0.98,False,True
490 : 560,87.26649367293697,-13.181631959749234,11.969944834709167,354.3435851470784,1.43,1.36,False,False
