Test set range,RMSE,MAPE,R-Squared,Wasserstein_dist,rmse_ratio,mape_ratio,Robust_rmse,Robust_mape
0 : 70,29.628981181925685,1.7497865483164787,0.6855582002144918,298.58772916570587,0.32,0.31,True,True
70 : 140,26.856682074863837,1.518385112285614,0.9529181770185328,459.474069726622,0.49,0.48,True,True
140 : 210,47.13310192290552,2.7554238215088844,0.9440632548482033,392.1104183442562,0.42,0.41,True,True
210 : 280,63.62797758258548,3.2462287694215775,0.9023305483072976,563.1653400879277,0.6,0.59,True,True
280 : 350,216.6084817706823,9.647359699010849,-4.736758798923626,1182.5996366141433,1.26,1.25,False,False
350 : 420,132.01697038165207,6.219834461808205,-5.61691973955589,996.976089250869,1.06,1.05,False,False
420 : 490,151.74261205244886,7.126105576753616,-2.4441274025797144,1042.10319932341,1.11,1.1,False,False
490 : 560,200.17230858687722,9.120893478393555,-7.141950119425324,1155.8675671508292,1.23,1.22,False,False
