Test set range,RMSE,R-Squared,MAPE,Anderson_Darling_dist,CVM_dist,DTS_dist,Kolmogorov_Smirnov_dist,Kuiper_dist,Wasserstein_dist
0 : 70,29.628981181925685,0.6855582002144918,1.7497865483164787,44.28380391772192,900.0000740192409,16.941658897864787,0.8712928694793765,0.9092894152479691,298.58772916570587
70 : 140,26.856682074863837,0.9529181770185328,1.518385112285614,52.79479883724113,991.2464224031478,32.13240943074643,0.8963730569947962,0.9011226252158959,459.474069726622
140 : 210,47.13310192290552,0.9440632548482033,2.7554238215088844,46.5686988509064,876.6150752528893,27.44391973242455,0.6867628916851463,0.6958302491981282,392.1104183442562
210 : 280,63.62797758258548,0.9023305483072976,3.2462287694215775,56.13199046388731,1014.1712928694682,51.61736656740013,0.8769059955588233,0.8769059955588233,563.1653400879277
280 : 350,216.6084817706823,-4.736758798923626,9.647359699010849,61.803353902974905,1071.0677522822482,119.42851230999564,0.999999999999969,0.999999999999969,1182.5996366141433
350 : 420,132.01697038165207,-5.61691973955589,6.219834461808205,61.71458110023343,1070.524895139391,94.38638438020917,0.999999999999969,0.999999999999969,996.976089250869
420 : 490,151.74261205244886,-2.4441274025797144,7.126105576753616,61.803353902974905,1071.0677522822482,102.46627999573397,0.999999999999969,0.999999999999969,1042.10319932341
490 : 560,200.17230858687722,-7.141950119425324,9.120893478393555,61.69919468492724,1069.726965532766,115.06044885970621,0.999999999999969,0.999999999999969,1155.8675671508292
