Test point,Assigned cluster,RMSE,MAPE,R2-score,WD origin,Wasserstein distance,WD ratio,mse,staDRE
421,2,2.3940757828575396,1.538327895104885,-0.5730881741758824,106.67311631897877,27.47942786893327,0.2576040601154188,0.0778,0.8322979699422905
35,2,2.27193786869926,1.8018996343016624,0.544335444478641,106.67311631897877,1.0877783588365684,0.010197305529012993,0.0778,0.9560013472354935
252,2,2.4296421647825346,1.9611325114965439,-0.6331773710021682,106.67311631897877,5.003207165808264,0.0469022312130401,0.0778,0.9376488843934799
707,2,8.991105664994798,5.673513561487198,-11.116919621830107,106.67311631897877,37.26596961698015,0.34934734170084397,0.0778,0.786426329149578
284,2,1.6474220800424526,1.1297832243144512,0.4695237961131311,106.67311631897877,5.571184689611975,0.05222669855217098,0.0778,0.9349866507239145
760,2,14.624965569871332,8.859169483184814,-57.75184459750993,106.67311631897877,42.396408612341475,0.39744229919716434,0.0778,0.7623788504014177
515,2,6.147966883096744,5.077783018350601,-0.19989176706719514,106.67311631897877,6.640025727548073,0.06224647743197797,0.0778,0.929976761284011
788,2,8.946085614107513,5.516486242413521,-10.985353840637147,106.67311631897877,38.50765510281999,0.3609874393063821,0.0778,0.7806062803468089
638,2,2.825931857870237,1.810559257864952,-0.1624236109538173,106.67311631897877,11.396751172155923,0.10683808222192406,0.0778,0.9076809588890379
96,2,3.050322162310774,1.9944649189710617,0.2088189221834994,106.67311631897877,7.92538123807389,0.07429595676548023,0.0778,0.9239520216172599
869,2,17.565881152508762,10.329494625329971,-130.73255591634182,106.67311631897877,45.021270520300455,0.4220488917345943,0.0778,0.7500755541327028
80,2,1.5908722421168568,1.0797074064612389,-0.07709059055733403,106.67311631897877,8.66726928433854,0.08125073667503328,0.0778,0.9204746316624833
4,2,2.311623381374681,1.633041724562645,0.022724805145448612,106.67311631897877,4.933484036535802,0.04624861639725116,0.0778,0.9379756918013744
531,2,3.133595509078056,2.956775762140751,-0.19481901448298378,106.67311631897877,9.17658616761155,0.08602529375978206,0.0778,0.9180873531201089
722,2,8.498051139463996,5.376134440302849,-20.74579795068102,106.67311631897877,38.36245399198014,0.3596262611965605,0.0778,0.7812868694017197
