Test point,Assigned cluster,RMSE,MAPE,R2-score,WD origin,Wasserstein distance,WD ratio,mse,staDRE
580,2,6263.202056456425,6.368051469326019,-5.290871796100232,70230.2463705324,13589.633757093583,0.19350115455092004,0.1373,0.83459942272454
731,2,3514.223385045407,3.0962133780121803,-0.7319887600930204,70230.2463705324,8298.74391334358,0.11816481277254373,0.1373,0.8722675936137282
671,2,2095.5754579589825,2.263158932328224,-4.183758897887416,70230.2463705324,9050.532975843582,0.12886944647884724,0.1373,0.8669152767605763
287,2,1144.0845139236874,1.6243886202573776,0.5298878043687226,70230.2463705324,6170.513167407398,0.0878611920973761,0.1373,0.8874194039513119
482,4,1457.7993689119226,2.1453889086842537,-0.3544051628181595,52513.9438562388,6743.206832699179,0.12840793011393806,0.1218,0.874896034943031
764,2,1279.4134886736188,1.459657959640026,0.5760169968178864,70230.2463705324,6626.89586646858,0.09435957025560328,0.1373,0.8841702148721984
444,2,2017.4729861884148,2.9920363798737526,-2.7616729252664336,70230.2463705324,7155.678206469898,0.10188883816122161,0.1373,0.8804055809193893
646,2,3440.8142931579437,3.850971907377243,-4.509628200871436,70230.2463705324,8898.575944593582,0.12670574865486015,0.1373,0.8679971256725699
99,4,942.2528853763198,1.3833644799888134,-0.2380084647542169,52513.9438562388,4252.62362957418,0.08098084655793676,0.1218,0.8986095767210317
591,2,4501.179178837474,4.6409230679273605,-4.321065660400007,70230.2463705324,12974.377116468586,0.1847405895177444,0.1373,0.8389797052411279
177,4,1063.8196510687326,1.4990096911787987,-0.5111583224432863,52513.9438562388,3337.670261952518,0.06355779088102129,0.1218,0.9073211045594894
546,2,3897.473797217885,3.1134670600295067,-0.02624307187573649,70230.2463705324,6334.188835218581,0.090191750172705,0.1373,0.8862541249136475
258,2,1227.316686923143,1.7066413536667824,-1.2954500730002492,70230.2463705324,5449.717659594899,0.07759787187478132,0.1373,0.8925510640626093
757,2,1083.3234743141127,1.0747628286480904,0.06287671867186262,70230.2463705324,7736.638835218583,0.11016106642144381,0.1373,0.8762694667892781
611,2,1747.8301547919352,1.7800528556108475,0.014908692751248398,70230.2463705324,10122.548210218583,0.1441337419893469,0.1373,0.8592831290053266
