RMSE,R2-score,MAPE,Anderson_Darling_dist,CVM_dist,DTS_dist,Kolmogorov_Smirnov_dist,Kuiper_dist,Wasserstein_dist
1641.1995612965536,0.3957276832201768,2.0521631464362144,58.606891576351,1445.3928974021912,2012.1838179413328,0.8976564817561395,0.9552061702758817,46034.54628138644
2082.1765054865064,0.6537220753844559,2.9148582369089127,55.110293590737434,1383.627185659174,1684.5971809635414,0.8917235241767864,0.9652921981607822,39839.511448303245
1108.6437660493114,0.14728190612372916,1.5242640860378742,54.99188148807826,1380.8265287960164,1579.0394560578918,0.8851972708394978,0.9916938593889039,37749.08213773612
1711.4828366068998,0.6539970675053265,2.1234529092907906,56.045832859744706,1400.3742806288735,1824.683989806564,0.8917235241767864,0.9688519727083941,42509.86193453435
1403.8901755479308,0.8079934132453412,1.7121633514761925,60.30589416574121,1471.034737466603,2086.7762852538485,0.8982497775140749,0.9291011569267277,47227.48149204087
2618.170162537187,0.29472167396696647,3.1864210963249207,55.2209928878271,1385.637386108385,1735.0582126897593,0.8816374962918859,0.9543162266389787,40807.72977784349
1568.9681322448841,0.721034089086266,2.1222811192274094,56.08210060319772,1401.0117896342551,1828.4844518993928,0.8926134678136893,0.9652921981607822,42594.38017214638
2331.2229623096973,0.907365554169259,2.4382568895816803,68.27044039938878,1551.464783658911,2451.5184402507352,0.89380005932956,0.8943933550875115,50659.91934903799
5426.6787264403265,-0.7451518039426002,5.098624154925346,82.26917103877228,1713.2403229223764,4170.855049982425,0.9928804509047583,0.9928804509047583,66415.31891171224
2378.4185922583097,-0.5690716311369586,2.4071447551250458,81.8309956157373,1709.6676441920295,3360.806007473124,0.9881340848412757,0.9881340848412757,60885.644469748186
2390.0806471749024,-0.20287703082365605,2.0564164966344833,81.24913150620301,1705.5408356994246,3305.390944624375,0.9884307327202434,0.9884307327202434,59941.64435814103
