date,close
2005-01-03,2542.550049
2005-01-04,2550.050049
2005-01-05,2577.300049
2005-01-06,2512.550049
2005-01-07,2498.949951
2005-01-10,2623.899902
2005-01-11,2530.199951
2005-01-12,2473.050049
2005-01-13,2498.800049
2005-01-14,2452.649902
2005-01-17,2399.850098
2005-01-18,2392.899902
2005-01-19,2389.699951
2005-01-20,2398.199951
2005-01-24,2347.699951
2005-01-25,2345.199951
2005-01-27,2321.399902
2005-01-28,2389.800049
2005-01-31,2416.050049
2005-02-01,2431.899902
2005-02-02,2411.800049
2005-02-03,2414.149902
2005-02-04,2514.699951
2005-02-07,2598.050049
2005-02-08,2638.449951
2005-02-09,2725.0
2005-02-10,2740.100098
2005-02-11,2719.550049
2005-02-14,2767.300049
2005-02-15,2690.550049
2005-02-16,2616.649902
2005-02-17,2608.949951
2005-02-18,2685.350098
2005-02-21,2683.399902
2005-02-22,2682.25
2005-02-23,2642.800049
2005-02-24,2637.300049
2005-02-25,2696.050049
2005-02-28,2799.449951
2005-03-01,2866.300049
2005-03-02,2853.300049
2005-03-03,2880.300049
2005-03-04,3072.600098
2005-03-07,3099.949951
2005-03-08,3110.5
2005-03-09,3106.449951
2005-03-10,2997.800049
2005-03-11,2986.600098
2005-03-14,2966.199951
2005-03-15,3029.600098
2005-03-16,3053.350098
2005-03-17,3022.75
2005-03-18,2945.399902
2005-03-21,2976.399902
2005-03-22,2950.199951
2005-03-23,2929.399902
2005-03-24,2927.350098
2005-03-28,2940.850098
2005-03-29,2802.949951
2005-03-30,2898.5
2005-03-31,2948.050049
2005-04-01,2912.75
2005-04-04,2881.399902
2005-04-05,2768.350098
2005-04-06,2827.149902
2005-04-07,2793.100098
2005-04-08,2759.800049
2005-04-11,2735.699951
2005-04-12,2767.0
2005-04-13,2761.649902
2005-04-15,2704.0
2005-04-18,2684.949951
2005-04-19,2705.149902
2005-04-20,2704.449951
2005-04-21,2698.699951
2005-04-22,2710.199951
2005-04-25,2750.800049
2005-04-26,2743.350098
2005-04-27,2716.649902
2005-04-28,2746.649902
2005-04-29,2649.949951
2005-05-02,2570.100098
2005-05-03,2500.649902
2005-05-04,2501.300049
2005-05-05,2511.25
2005-05-06,2506.899902
2005-05-09,2602.699951
2005-05-10,2552.199951
2005-05-11,2532.399902
2005-05-12,2624.399902
2005-05-13,2546.5
2005-05-16,2554.949951
2005-05-17,2534.199951
2005-05-18,2531.350098
2005-05-19,2506.399902
2005-05-20,2512.649902
2005-05-23,2530.25
2005-05-24,2549.100098
2005-05-25,2529.149902
2005-05-26,2532.600098
2005-05-27,2522.699951
2005-05-30,2491.550049
2005-05-31,2505.25
2005-06-01,2502.5
2005-06-02,2490.399902
2005-06-03,2485.850098
2005-06-06,2508.449951
2005-06-07,2508.149902
2005-06-08,2525.399902
2005-06-09,2542.0
2005-06-10,2509.5
2005-06-13,2506.75
2005-06-14,2499.0
2005-06-15,2481.149902
2005-06-16,2474.050049
2005-06-17,2455.899902
2005-06-20,2432.5
2005-06-21,2457.350098
2005-06-22,2474.550049
2005-06-23,2475.949951
2005-06-24,2517.949951
2005-06-27,2523.649902
2005-06-28,2479.800049
2005-06-29,2434.5
2005-06-30,2450.399902
2005-07-01,2451.5
2005-07-04,2479.300049
2005-07-05,2462.5
2005-07-06,2459.100098
2005-07-07,2429.899902
2005-07-08,2442.5
2005-07-11,2406.350098
2005-07-12,2386.199951
2005-07-13,2391.75
2005-07-14,2367.899902
2005-07-15,2392.350098
2005-07-18,2394.300049
2005-07-19,2386.850098
2005-07-20,2388.399902
2005-07-21,2366.899902
2005-07-22,2396.350098
2005-07-25,2372.350098
2005-07-26,2362.25
2005-07-27,2353.75
2005-07-28,2353.75
2005-07-29,2336.5
2005-08-01,2320.25
2005-08-02,2303.449951
2005-08-03,2290.050049
2005-08-04,2277.75
2005-08-05,2300.449951
2005-08-08,2304.899902
2005-08-09,2320.600098
2005-08-10,2552.699951
2005-08-11,2651.350098
2005-08-12,2603.600098
2005-08-16,2660.199951
2005-08-17,2664.449951
2005-08-18,2634.699951
2005-08-19,2819.050049
2005-08-22,2986.75
2005-08-23,3136.449951
2005-08-24,3099.149902
2005-08-25,3193.25
2005-08-26,3185.050049
2005-08-29,3152.199951
2005-08-30,3131.149902
2005-08-31,3008.800049
2005-09-01,2982.850098
2005-09-02,2979.449951
2005-09-05,3078.0
2005-09-06,3073.25
2005-09-08,3066.100098
2005-09-09,3063.899902
2005-09-12,3060.149902
2005-09-13,3119.050049
2005-09-14,3179.550049
2005-09-15,3338.550049
2005-09-16,3368.949951
2005-09-19,3362.25
2005-09-20,3305.100098
2005-09-21,3206.300049
2005-09-22,3069.899902
2005-09-23,2989.050049
2005-09-26,3138.5
2005-09-27,3221.300049
2005-09-28,3178.75
2005-09-29,3163.75
2005-09-30,3139.550049
2005-10-03,3187.5
2005-10-04,3184.5
2005-10-05,3214.550049
2005-10-06,3246.600098
2005-10-07,3234.25
2005-10-10,3192.649902
2005-10-11,3135.850098
2005-10-13,3152.149902
2005-10-14,3109.600098
2005-10-17,3070.050049
2005-10-18,3029.199951
2005-10-19,2975.699951
2005-10-20,2866.050049
2005-10-21,2772.850098
2005-10-24,2814.399902
2005-10-25,2788.899902
2005-10-26,2854.449951
2005-10-27,2790.850098
2005-10-28,2726.399902
2005-10-31,2739.949951
2005-11-02,2788.600098
2005-11-04,2788.600098
2005-11-07,2878.300049
2005-11-08,2851.600098
2005-11-09,2865.550049
2005-11-10,2812.0
2005-11-11,2816.600098
2005-11-14,2793.100098
2005-11-16,2807.550049
2005-11-17,2862.649902
2005-11-18,2877.0
2005-11-21,2841.5
2005-11-22,2876.300049
2005-11-23,2894.25
2005-11-24,2880.199951
2005-11-25,2876.800049
2005-11-28,2880.649902
2005-11-29,2888.449951
2005-11-30,2849.350098
2005-12-01,2884.949951
2005-12-02,2860.600098
2005-12-05,2833.75
2005-12-06,2842.100098
2005-12-07,2905.899902
2005-12-08,2872.100098
2005-12-09,2898.949951
2005-12-12,2897.350098
2005-12-13,2883.300049
2005-12-14,2863.75
2005-12-15,2821.399902
2005-12-16,2829.199951
2005-12-19,2816.699951
2005-12-20,2910.050049
2005-12-21,2959.100098
2005-12-22,2899.850098
2005-12-23,2849.050049
2005-12-26,2783.850098
2005-12-27,2770.25
2005-12-28,2763.449951
2005-12-29,2732.899902
2005-12-30,2748.449951
2006-01-02,2738.050049
2006-01-03,2745.300049
2006-01-04,2742.0
2006-01-05,2761.25
2006-01-06,2740.75
2006-01-09,2728.0
2006-01-10,2695.300049
2006-01-12,2679.850098
2006-01-13,2690.199951
2006-01-16,2680.449951
2006-01-17,2704.350098
2006-01-18,2701.699951
2006-01-19,2775.350098
2006-01-20,2742.300049
2006-01-23,2738.0
2006-01-24,2715.600098
2006-01-25,2740.850098
2006-01-27,2860.699951
2006-01-30,2801.949951
2006-01-31,2803.550049
2006-02-01,2808.800049
2006-02-02,2819.850098
2006-02-03,2800.600098
2006-02-06,2872.050049
2006-02-07,3010.100098
2006-02-08,3260.949951
2006-02-10,3279.949951
2006-02-13,3219.149902
2006-02-14,3108.050049
2006-02-15,3104.649902
2006-02-16,3170.699951
2006-02-17,3117.449951
2006-02-20,3171.399902
2006-02-21,3214.949951
2006-02-22,3097.050049
2006-02-23,3049.800049
2006-02-24,3021.350098
2006-02-27,3057.800049
2006-02-28,3059.699951
2006-03-01,3130.699951
2006-03-02,3246.550049
2006-03-03,3160.399902
2006-03-06,3128.600098
2006-03-07,3132.899902
2006-03-08,3132.949951
2006-03-09,3138.800049
2006-03-10,3116.399902
2006-03-13,3174.699951
2006-03-14,3144.850098
2006-03-16,3194.550049
2006-03-17,3193.5
2006-03-20,3187.649902
2006-03-21,3225.149902
2006-03-22,3222.850098
2006-03-23,3243.199951
2006-03-24,3187.850098
2006-03-27,3130.300049
2006-03-28,3110.600098
2006-03-29,3106.5
2006-03-30,3066.399902
2006-03-31,3101.800049
2006-04-03,3204.149902
2006-04-04,3219.399902
2006-04-05,3541.350098
2006-04-07,3874.899902
2006-04-10,3856.449951
